;EVY;;;;
;GNL;;;;
1T;;;;;
;WYT;;;;
;TFU;;;;
;CHD;;;;
;TTF;;;;
;TWF;;;;
;SEC;;;;
Q5;MLA;;;;
;QRT;;;;
;PIU;;;;
4R;SEK;;;;
4O;AIJ;;;;
7A;XRC;;;;
7C;JJA;;;;
;BRO;;;;
P6;PSC;;;;
;WSN;;;;
;GBT;;;;
;AJR;;;;
;SFM;;;;
;AJJ;;;;
;XXV;;;;
;LEP;;;;
;NKP;;;;
;ADD;;;;
;OWN;;;;
;ASR;;;;
;ARH;;;;
;VMX;;;;
;ACC;;;;
;FSY;;;;
;TTX;;;;
;ALN;;;;
;UJX;;;;
;RGR;;;;
;NGF;;;;
;WFT;;;;
;ATT;;;;
;EDY;;;;
JY;IWY;;;;
JU;ASL;;;;
QH;LYN;;;;
XK;CCM;;;;
;AHS;;;;
;ROH;;;;
;ROO;;;;
;AWF;;;;
;SUP;;;;
;PSO;;;;
EI;EIN;;;;
;VLB;;;;
;WAS;;;;
;FCJ;;;;
;TEW;;;;
;STT;;;;
;LBZ;;;;
;HEZ;;;;
;UAH;;;;
;DRO;;;;
;RVQ;;;;
;ASK;;;;
;AEH;;;;
;ERO;;;;
A8;XAU;;;;
;NKY;;;;
;AWP;;;;
;AGA;;;;
;ABZ;;;;
RV;ROU;;;;
;CNM;;;;
;VRE;;;;
;AWL;;;;
;AXY;;;;
;OES;;;;
;ASF;;;;
;AVG;;;;
7A;AZY;;;;
1B;;;;;
W9;AAB;;;;
6U;ACX;;;;
;AAD;;;;
;SII;;;;
;BZS;;;;
;ACO;;;;
;AET;;;;
;ABM;;;;
E4;RSO;;;;
ZI;AAF;;;;
;AAM;;;;
;AAO;;;;
;AAP;;;;
AE;AE;;;;
OZ;AAR;;;;
4K*;AAS;;;;
;AAU;;;;
;AAV;;;;
8U;AAW;;;;
Q9;AFU;;;;
;AAX;;;;
;BRL;;;;
;AFH;;;;
;BRM;;;;
;AAG;;;;
KI;AAG;;;;
QB;AAJ;;;;
;ACS;;;;
;ADT;;;;
;AHN;;;;
;AHR;;;;
LD;AHK;;;;
;AHS;;;;
;AEQ;;;;
;AAI;;;;
;ACU;;;;
;ACV;;;;
;ADC;;;;
;ADW;;;;
UX;AEA;;;;
IG;AEY;;;;
;ASW;;;;
;ASX;;;;
NX;AMU;;;;
ZV;AMW;;;;
HM;SEY;;;;
;SFB;;;;
;BRF;;;;
AF;AFR;;;;
;ACG;;;;
SB;ACI;;;;
;VSG;;;;
EH;AKX;;;;
;ALM;;;;
;ALN;;;;
;ACM;;;;
;AGM;;;;
ZW;AWI;;;;
;ALU;;;;
;RSI;;;;
GN;AGN;;;;
;AFS;;;;
;AFV;;;;
NQ;AJX;;;;
VD;LIB;;;;
TT;KLA;;;;
;AMG;;;;
4N;ANT;;;;
;ANV;;;;
NZ;ANZ;;;;
;;;;;
TE;;;;;
;AOE;;;;
;AMI;;;;
QM;AML;;;;
;AMN;;;;
ML;BIE;;;;
P8;MKG;;;;
;TAH;;;;
;AVZ;;;;
;AMO;;;;
BM;;;;;
;AMR;;;;
;AMS;;;;
;AOJ;;;;
;AJU;;;;
;AKA;;;;
;LIV;;;;
ZX;ABL;;;;
;ABN;;;;
;LJA;;;;
G8;AGB;;;;
7T;AGV;;;;
;MVM;;;;
;AMY;;;;
6V;VGA;;;;
;AOU;;;;
;APA;;;;
;APG;;;;
NH;ANA;;;;
;ANB;;;;
;NGO;;;;
TZ;TWG;;;;
;NGP;;;;
2Q;SNC;;;;
;SND;;;;
V7;SNG;;;;
;SNY;;;;
;AII;;;;
;BFF;;;;
;BDM;;;;
AB;BER;;;;
;ABT;;;;
;APV;;;;
;ARX;;;;
;HTT;;;;
;ARZ;;;;
;ASB;;;;
;ASC;;;;
4D;ASD;;;;
;AQN;;;;
;ARC;;;;
QN;ARR;;;;
;ABR;;;;
;AIL;;;;
AI;AIC;;;;
;AIG;;;;
PJ;SPM;;;;
SZ;WOW;;;;
;ATJ;;;;
8C;ATN;;;;
;ATQ;;;;
;ATS;;;;
;AVG;;;;
;AUX;;;;
NF;AVN;;;;
ZB;BUB;;;;
CC;ABD;;;;
;AIE;;;;
;AIS;;;;
RB;SBK;;;;
TN;THT;;;;
SW;NMB;;;;
;NSK;;;;
;NTL;;;;
;SGA;;;;
;AFW;;;;
AW;AFW;;;;
;ACX;;;;
PE;AEL;;;;
JM;AJM;;;;
;AWN;;;;
;AWT;;;;
6G;AWW;;;;
TX;FWI;;;;
IX;AXB;;;;
;AXD;;;;
;BSB;;;;
BT;BTI;;;;
;ANI;;;;
EL;ANK;;;;
YW;ANE;;;;
PX;ANG;;;;
G9;ABY;;;;
AC;ACA;;;;
AP;LAV;;;;
;MHS;;;;
XT;AXL;;;;
;AZF;;;;
UM;AZW;;;;
;MHU;;;;
;MKH;;;;
;AZX;;;;
S2;RSH;;;;
;ATA;;;;
TC;ATC;;;;
;XAC;;;;
2J;VBW;;;;
;ATH;;;;
KM;AMC;;;;
YT;TGA;;;;
;ASJ;;;;
;ASN;;;;
;ASS;;;;
;NPL;;;;
;NPR;;;;
;WAM;;;;
;RSM;;;;
;AWZ;;;;
G4;AAY;;;;
;AAZ;;;;
;ABA;;;;
;ABB;;;;
;ABE;;;;
;ABF;;;;
;ABG;;;;
M3;TUS;;;;
;ABJ;;;;
;ABK;;;;
;ABO;;;;
;ABU;;;;
;ACR;;;;
O4;ABV;;;;
GB;ABX;;;;
GB;ABX;;;;
;ABZ;;;;
;ACC;;;;
;ACD;;;;
8V;ACP;;;;
;ACY;;;;
;ADA;;;;
4G*;;;;;
8T;TID;;;;
;ADB;;;;
;ADD;;;;
;ADE;;;;
;ADG;;;;
;ADI;;;;
;ADJ;;;;
Z7*;ADK;;;;
;ADL;;;;
;ADN;;;;
;ADP;;;;
;ADY;;;;
;ADQ;;;;
JP;ADR;;;;
;ADS;;;;
;ADU;;;;
;ADV;;;;
EM*;AEB;;;;
;AEC;;;;
;AED;;;;
;ADX;;;;
A3;AEE;;;;
;AEG;;;;
2K;GLG;;;;
;AEI;;;;
;AEJ;;;;
;AEK;;;;
;AEM;;;;
KD;AEN;;;;
;AEO;;;;
;AEP;;;;
KO;AER;;;;
VX;AES;;;;
KH;AAH;;;;
;AAK;;;;
AA;AAL;;;;
AX;?;;;;
AN;AAA;;;;
;AAC;;;;
5W;AEU;;;;
;AEV;;;;
VV;AEW;;;;
;AEX;;;;
;AEZ;;;;
;AFA;;;;
WK;AFB;;;;
QQ;UTY;;;;
;UVS;;;;
;UVT;;;;
;AFC;;;;
;AFE;;;;
FG;AFG;;;;
RV*;AFI;;;;
Y2;AFJ;;;;
;AFK;;;;
SU;AFL;;;;
;AFO;;;;
;AFQ;;;;
5Z;AFX;;;;
;AFY;;;;
;AFZ;;;;
;AGA;;;;
;AGC;;;;
;AGF;;;;
5D;SLI;;;;
;AGG;;;;
;AGH;;;;
;AGO;;;;
;AGP;;;;
;AGQ;;;;
1A;AGT;;;;
;AGU;;;;
;AGW;;;;
JJ;AGX;;;;
;BLR;;;;
;BLZ;;;;
PL;PLI;;;;
8A;BMM;;;;
;BNB;;;;
;AGY;;;;
;AGZ;;;;
GD;AHA;;;;
;AHC;;;;
;AHE;;;;
;CJE;;;;
;AHF;;;;
;AHG;;;;
;AHH;;;;
;AHP;;;;
;AHU;;;;
HT;AHW;;;;
J2;AHY;;;;
U3;AIA;;;;
4Y;AIB;;;;
;AIH;;;;
RS;ASV;;;;
;AIJ;;;;
;AIK;;;;
;AIN;;;;
5A;AIP;;;;
;AIU;;;;
;ABP;;;;
ED*;ABQ;;;;
;THM;;;;
;AIR;;;;
;AIT;;;;
;AIV;;;;
W4;BES;;;;
;AIW;;;;
;AIX;;;;
;AIY;;;;
IZ;AIZ;;;;
;AJA;;;;
;AJB;;;;
;AJE;;;;
;AJF;;;;
;AJI;;;;
;AJK;;;;
;AJO;;;;
;AJP;;;;
;AJS;;;;
M6;AJT;;;;
;AJV;;;;
;AJW;;;;
;AJY;;;;
;AKB;;;;
;AKC;;;;
;AKF;;;;
;AKH;;;;
;MNI;;;;
;AKK;;;;
4A;AKL;;;;
;AKN;;;;
;AKW;;;;
;AKZ;;;;
;ALB;;;;
;ALD;;;;
;ALE;;;;
;ALF;;;;
;BTS;;;;
;FYS;;;;
;DFA;;;;
EV;ASQ;;;;
;BVR;;;;
;ALG;;;;
;ALL;;;;
HP;AWE;;;;
;TNO;;;;
;TND;;;;
;TMP;;;;
;ALO;;;;
;ALP;;;;
;ALP;;;;
;ALQ;;;;
VH;ALV;;;;
;ALW;;;;
;ALY;;;;
;ALZ;;;;
;AMA;;;;
;AMD;;;;
;AMF;;;;
;AMH;;;;
;AMJ;;;;
;AMK;;;;
;AMM;;;;
;AMP;;;;
;AMQ;;;;
;AMQ;;;;
TZ;AMT;;;;
;AMV;;;;
AM;AMX;;;;
;AMZ;;;;
;ANC;;;;
;BRP;;;;
;ANH;;;;
;ANM;;;;
;ANM;;;;
TL;ANO;;;;
;ANQ;;;;
OY;ANS;;;;
IW;AOM;;;;
;ANW;;;;
;SAP;;;;
;EMS;;;;
;AOA;;;;
J6;AOC;;;;
;AOD;;;;
;AOF;;;;
2D;AOG;;;;
;MUN;;;;
;MUR;;;;
;AOI;;;;
;NRO;;;;
;NRP;;;;
;AOK;;;;
;AOL;;;;
;AON;;;;
;AOO;;;;
;AOP;;;;
VB;VIV;;;;
;VIZ;;;;
;VJE;;;;
;VGF;;;;
;VER;;;;
;AOR;;;;
;SMX;;;;
OE;AOT;;;;
;AOV;;;;
;AOX;;;;
;APC;;;;
;SVM;;;;
;APF;;;;
;APH;;;;
;API;;;;
;APJ;;;;
;PET;;;;
GV;ARF;;;;
;BJT;;;;
;BKL;;;;
;BLA;;;;
;APL;;;;
;APM;;;;
;APO;;;;
;APP;;;;
;APQ;;;;
;APU;;;;
JW;APW;;;;
;APX;;;;
;APY;;;;
;AQA;;;;
;AQL;;;;
;AQO;;;;
;AQT;;;;
;AQU;;;;
;AQZ;;;;
;ARA;;;;
;ARB;;;;
2B;AWT;;;;
4C;ARE;;;;
AR;ARG;;;;
;ARH;;;;
;ARI;;;;
;ARJ;;;;
;SUN;;;;
;SUO;;;;
;SUP;;;;
;ARK;;;;
;ARL;;;;
;ARM;;;;
;ARO;;;;
;KLD;;;;
;ARQ;;;;
;ARS;;;;
;ART;;;;
;ARV;;;;
;ARW;;;;
;OST;;;;
;HUC;;;;
;HUT;;;;
;HUY;;;;
;ARY;;;;
AS;ASA;;;;
PL;ASE;;;;
;ASF;;;;
;ASG;;;;
;ASI;;;;
;ASM;;;;
;ASO;;;;
;ASP;;;;
;ASR;;;;
;AST;;;;
;NRE;;;;
;WAP;;;;
;ASV;;;;
OB;ASZ;;;;
;ATB;;;;
;ATD;;;;
;ATE;;;;
;ATG;;;;
HC;ATI;;;;
;ATK;;;;
FO;ATM;;;;
;CPV;;;;
;ATP;;;;
;FEO;;;;
;FES;;;;
;FFA;;;;
;FFB;;;;
;ATR;;;;
;ATT;;;;
;ATU;;;;
;ATV;;;;
;ATW;;;;
OS;AUA;;;;
IQ;AUB;;;;
;TUP;;;;
RU;ABW;;;;
;TUR;;;;
;TXU;;;;
;TXX;;;;
;AUD;;;;
;AUF;;;;
MO;AUH;;;;
;AUM;;;;
;AUN;;;;
;AUP;;;;
;SVE;;;;
GR;AUR;;;;
NO;AUS;;;;
AU;AUT;;;;
;AUU;;;;
;AUY;;;;
AO;AUZ;;;;
AV;AVA;;;;
A0;MCJ;;;;
O6;ONE;;;;
;AVB;;;;
;AVF;;;;
;AVH;;;;
;AVJ;;;;
;AVK;;;;
;AVM;;;;
;AVO;;;;
;AVP;;;;
;AVP;;;;
;LFP;;;;
;LFR;;;;
;LFT;;;;
;AVQ;;;;
;AVR;;;;
;AVS;;;;
;AVT;;;;
;AVU;;;;
;AVV;;;;
;AVW;;;;
;AVX;;;;
;XXX;;;;
;YRG;;;;
K8;ZAK;;;;
;ZZM;;;;
4Y;BGA;;;;
B9;BGD;;;;
;BGF;;;;
;BGG;;;;
;BHC;;;;
;BIV;;;;
;SZA;;;;
;AVY;;;;
;AWB;;;;
;AWK;;;;
;AWL;;;;
;AWO;;;;
;AWR;;;;
;ISM;;;;
;AWS;;;;
;AWV;;;;
;AWY;;;;
HJ;AXF;;;;
;AXH;;;;
;AXI;;;;
;AXK;;;;
AK;AXM;;;;
D7;XAX;;;;
DJ;WAJ;;;;
I5;IAD;;;;
;AXN;;;;
;AXP;;;;
;AXQ;;;;
;BNI;;;;
;BNZ;;;;
;BOC;;;;
;BOI;;;;
;AXR;;;;
;AXS;;;;
;AXV;;;;
;AXX;;;;
6V;AXY;;;;
;AYD;;;;
;AYK;;;;
;AYM;;;;
;NPT;;;;
;GBN;;;;
EX;BJK;;;;
;HHA;;;;
;AYN;;;;
;AYS;;;;
;AYT;;;;
3G;AYZ;;;;
AZ;AZA;;;;
;AZB;;;;
ZE;AZE;;;;
A2;AZI;;;;
;AZK;;;;
;AZL;;;;
;AZM;;;;
;AZP;;;;
;AZS;;;;
;AZT;;;;
;AZV;;;;
;MHC;;;;
;AZY;;;;
;AZZ;;;;
;NAR;;;;
;NAU;;;;
;NER;;;;
;NFF;;;;
;OBA;;;;
;OBK;;;;
R7;OCA;;;;
;NFS;;;;
;NGC;;;;
;NGE;;;;
;NGF;;;;
;OUL;;;;
;OVA;;;;
;XPE;;;;
;XSS;;;;
;XTJ;;;;
;TLR;;;;
;OVC;;;;
;RVE;;;;
;RVI;;;;
;RVL;;;;
;OVE;;;;
;OVI;;;;
;PTD;;;;
;PTE;;;;
;PLL;;;;
;PLM;;;;
RX;AEH;;;;
;PSG;;;;
;SLU;;;;
;SCU;;;;
;SIP;;;;
;BMV;;;;
;GUG;;;;
;PXX;;;;
;PYC;;;;
;PVK;;;;
;BAS;;;;
;BBE;;;;
;BBT;;;;
;MCY;;;;
MQ;EGF;;;;
;PUE;;;;
;PUT;;;;
ZS;AZI;;;;
FF;;;;;
ML;ETC;;;;
;VUE;;;;
;XCT;;;;
;VRO;;;;
;VRI;;;;
;VEG;;;;
;VVG;;;;
;VLR;;;;
;WIL;;;;
;VEJ;;;;
;WAB;;;;
;VNG;;;;
;VAD;;;;
;VMR;;;;
;VLS;;;;
;XAA;;;;
;VUO;;;;
;VTM;;;;
VU;VUN;;;;
BP;BOT;;;;
;XPR;;;;
;XLL;;;;
;VAE;;;;
;WHY;;;;
;WDR;;;;
;XEC;;;;
GS;UPA;;;;
;VTY;;;;
VT;VTA;;;;
3N;URG;;;;
;VDR;;;;
VL;VIM;;;;
;WLR;;;;
;URA;;;;
;XLB;;;;
;WLA;;;;
;XFX;;;;
;WAY;;;;
;WGS;;;;
;XAK;;;;
;WPK;;;;
;VAB;;;;
;URP;;;;
;WPR;;;;
;URR;;;;
;UST;;;;
;WLT;;;;
;VLV;;;;
;VME;;;;
;VVA;;;;
;WLV;;;;
FK;WTA;;;;
;VNT;;;;
;VZR;;;;
;VID;;;;
G2;VXG;;;;
;VXX;;;;
;XAM;;;;
;XAO;;;;
;VAZ;;;;
