200;thunderstorm with light rain;11d;0.5
201;thunderstorm with rain;11d;0.5
202;thunderstorm with heavy rain;11d;0.5
210;light thunderstorm;11d;0.4
211;thunderstorm;11d;0.4
212;heavy thunderstorm;11d;0.5
221;ragged thunderstorm;11d;0.4
230;thunderstorm with light drizzle;11d;0.5
231;thunderstorm with drizzle;11d;0.5
232;thunderstorm with heavy drizzle;11d;0.5
300;light intensity drizzle;09d;0.4
301;drizzle;09d;0.4
302;heavy intensity drizzle;09d;0.5
310;light intensity drizzle rain;09d;0.4
311;drizzle rain;09d;0.4
312;heavy intensity drizzle rain;09d;0.5
313;shower rain and drizzle;09d;0.5
314;heavy shower rain and drizzle;09d;0.5
321;shower drizzle;09dv;0.4
500;light rain;10d;0.2
501;moderate rain;10d;0.2
502;heavy intensity rain;10d;0.3
503;very heavy rain;10d;0.3
504;extreme rain;10d;0.4
511;freezing rain;13d;0.3
520;light intensity shower rain;09d;0.1
521;shower rain;09d;0.2
522;heavy intensity shower rain;09d;0.3
531;ragged shower rain;09d;0.2
600;light snow;13d;0.1
601;snow;13d;0.1
602;heavy snow;13d;0.3
611;sleet;13d;0.3
612;shower sleet;13d;0.3
615;light rain and snow;13d;0.1
616;rain and snow;13d;0.1
620;light shower snow;13d;0.1
621;shower snow;13d;0.3
622;heavy shower snow;13d;0.4
701;mist;50d;0.2
711;smoke;50d;0.1
721;haze;50d;0.3
731;sand, dust whirls;50d;0.2
741;fog;50d;0.3
751;sand;50d;0.2
761;dust;50d;0.2
762;volcanic ash;50d;0.5
771;squalls;50d;0.5
781;tornado;50d;0.5
800;clear sky;01d 01n;0.0
801;few clouds;02d 02n;0.0
802;scattered clouds;03d 03n;0.0
803;broken clouds;04d 04n;0.0
804;overcast clouds;04d 04n;0.0
